"","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3","4_1","4_2","4_3","5_1","5_2","5_3","6_1","6_2","6_3","7_1","7_2","7_3","8_1","8_2","8_3","9_1","9_2","9_3","10_1","10_2","10_3"
"ENSG00000235373",30,52,36,63,52,44,4,26,47,67,83,21,71,51,23,47,69,37,97,56,44,32,18,51,22,16,50,18,25,42
"ENSG00000223181",0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000240618",14,26,22,30,8,23,10,24,26,32,23,14,10,13,9,21,8,17,28,13,13,5,6,19,6,7,24,14,7,40
"ENSG00000229905",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000228327",137,226,159,210,152,101,41,139,149,167,194,79,143,107,73,168,194,48,209,122,107,92,73,150,63,42,170,69,82,159
"ENSG00000237491",39,93,77,50,42,28,20,34,58,46,42,24,36,26,36,39,42,14,118,41,42,11,21,40,37,18,54,30,39,36
"ENSG00000230092",10,9,13,12,6,7,2,10,25,15,21,6,14,9,4,7,15,4,11,6,11,8,4,8,3,3,11,1,3,5
"ENSG00000269831",1,7,4,0,4,5,0,4,5,3,3,0,5,0,2,4,8,0,3,3,3,3,1,4,3,0,5,0,7,0
"ENSG00000240453",2,6,11,10,6,2,0,3,3,2,12,5,3,6,6,10,10,1,9,4,4,1,1,4,1,1,4,0,6,12
"ENSG00000177757",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225880",25,27,47,53,42,28,10,20,20,53,44,16,33,13,14,19,20,4,32,23,13,7,12,26,9,6,26,8,23,18
"ENSG00000228794",410,516,622,638,582,337,124,394,578,635,561,304,403,381,240,583,634,209,750,415,358,345,198,560,315,143,533,237,354,457
"ENSG00000230368",0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,2,0,0,4,0,0,0,0,0,0
"ENSG00000234711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000272438",13,9,13,38,24,8,6,5,14,22,25,8,13,11,0,24,29,12,18,7,9,12,11,18,6,5,7,9,15,12
"ENSG00000230699",37,58,50,151,75,44,17,40,44,77,123,36,52,24,12,122,131,46,42,34,26,47,19,78,38,19,81,29,64,70
"ENSG00000241180",0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000223764",40,52,56,236,140,102,7,38,58,168,160,99,45,47,38,123,133,37,94,52,51,69,53,129,30,42,127,53,76,126
"ENSG00000187634",176,227,236,574,537,315,41,163,240,555,472,253,139,142,88,429,396,135,366,173,144,189,115,314,115,62,210,102,173,232
"ENSG00000268179",0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0
"ENSG00000188976",7565,11347,11078,11359,9491,5774,2462,7614,10342,11083,10454,4759,7155,6946,4541,10755,10107,3232,14719,8532,7481,5787,3391,9142,4684,2662,7464,3709,4690,6527
"ENSG00000187961",2159,3496,3035,4446,3618,2226,620,2202,3081,4064,4140,1756,2147,2360,1362,3888,3423,1241,4155,2364,2174,1784,1196,2862,1524,830,2450,1193,1619,2222
"ENSG00000187583",635,908,842,1109,897,583,167,605,907,1068,1104,481,755,655,444,1310,1085,433,1189,666,565,577,377,1014,485,240,1027,420,679,928
"ENSG00000187642",7,16,5,15,15,4,1,4,10,20,17,1,7,2,5,4,6,0,14,5,0,3,3,8,2,2,6,10,4,14
"ENSG00000272512",157,193,187,395,304,247,53,129,189,376,364,207,140,120,72,371,316,72,176,101,89,90,59,156,99,22,132,56,92,94
"ENSG00000188290",1741,2622,2660,2756,1863,1549,483,1603,1875,2503,2528,1200,1373,1506,983,2647,1886,948,2467,1342,1330,875,534,1483,913,585,1314,908,815,1041
"ENSG00000231702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000224969",0,5,0,5,6,1,0,0,0,7,4,2,0,1,2,2,6,0,1,2,0,1,0,1,1,0,2,0,0,0
"ENSG00000187608",1192,1762,1924,5343,3960,3005,342,1108,1653,5031,4479,2259,1185,1360,819,5379,4316,2004,1704,992,932,1410,834,2746,658,380,2157,596,1419,2100
"ENSG00000188157",9590,14392,13492,15247,11576,7436,2704,9580,12847,12988,13835,6289,9323,9738,5954,14718,12744,4393,16514,9444,9213,6683,4160,10714,6565,3587,10765,5419,7153,8816
"ENSG00000242590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217801",506,754,708,1302,878,591,141,520,680,1092,1061,597,459,475,302,907,944,286,1087,573,613,491,282,793,334,176,677,278,450,562
"ENSG00000273443",17,18,18,32,32,16,11,13,22,23,33,23,19,13,7,39,21,13,32,16,15,16,10,20,3,4,19,18,24,13
"ENSG00000237330",373,545,608,702,503,346,100,432,481,628,666,310,301,313,210,629,544,196,697,437,434,457,237,664,252,140,472,191,318,394
"ENSG00000131591",601,793,750,1043,778,511,172,488,788,930,969,363,554,456,351,974,824,247,1222,671,551,584,299,860,437,226,758,281,506,633
"ENSG00000223823",2,1,0,0,0,3,0,2,0,0,1,0,0,0,0,2,2,0,0,3,1,0,1,0,0,0,4,0,0,1
"ENSG00000207730",10,28,26,22,27,11,7,18,29,19,22,4,6,7,4,16,13,8,26,16,14,8,7,18,22,2,11,7,15,9
"ENSG00000207607",11,12,11,29,8,3,4,11,24,14,14,5,18,2,4,13,9,6,15,20,7,3,3,10,10,6,24,2,7,17
"ENSG00000198976",43,47,41,49,41,18,10,31,41,26,46,15,25,21,11,36,27,5,51,20,27,23,10,21,27,16,20,16,20,17
"ENSG00000272141",269,372,295,476,336,227,64,228,281,379,407,210,192,186,123,324,256,105,400,177,184,170,94,346,163,76,281,106,207,227
"ENSG00000205231",5,1,5,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
"ENSG00000162571",3,6,11,16,4,3,4,13,8,6,16,10,6,9,7,10,15,2,9,7,8,5,6,7,5,0,8,7,5,7
"ENSG00000186891",1027,1422,1542,1570,1346,850,244,939,1242,1513,1328,655,799,840,486,1399,1191,429,1879,1085,946,838,463,1347,598,353,1109,489,755,992
"ENSG00000186827",3,13,2,2,11,1,2,3,1,9,12,5,2,5,2,8,14,2,8,12,6,4,6,10,4,2,12,0,3,4
"ENSG00000078808",4319,6551,6593,7650,6172,3981,1273,4160,5995,7341,6971,3245,4037,3866,2454,7164,6500,2021,8432,4810,4232,4610,2716,7337,2749,1495,6301,2349,4062,5001
"ENSG00000176022",333,536,553,826,575,417,124,340,566,819,703,339,407,419,242,866,661,341,951,509,462,447,312,838,408,188,812,331,512,780
"ENSG00000184163",139,180,196,100,119,47,39,107,159,87,64,39,122,88,73,76,56,12,226,105,120,63,32,66,75,48,82,56,45,58
"ENSG00000260179",35,29,37,26,16,10,8,32,35,23,27,1,16,31,27,20,28,3,60,34,22,13,8,18,7,13,20,7,10,19
"ENSG00000160087",1350,2028,2136,2417,1882,1275,394,1392,1975,2157,2244,1042,1393,1400,929,2359,2008,778,2833,1658,1492,1329,733,2150,1037,594,1952,854,1175,1522
"ENSG00000230415",28,53,36,68,62,41,8,41,39,42,54,13,52,29,24,86,53,28,83,42,36,47,11,41,22,14,42,17,48,38
"ENSG00000162572",217,331,273,504,406,236,52,215,300,444,405,153,301,227,158,557,507,167,389,252,195,195,112,294,178,98,361,123,214,299
"ENSG00000131584",1440,2233,2036,2308,1900,1171,376,1417,1881,1957,1971,984,1606,1583,932,2352,2027,734,2865,1631,1414,1260,767,1913,1232,670,1804,914,1184,1476
"ENSG00000169972",473,616,678,780,547,377,118,419,630,775,692,294,463,453,249,759,602,234,982,583,545,383,210,685,385,228,584,289,401,458
"ENSG00000127054",3274,4767,4620,5433,4404,2624,965,3304,4252,4938,5094,2122,2993,2992,1838,4632,4281,1437,6062,3448,2980,2712,1593,4387,2076,1214,3812,1580,2434,3046
"ENSG00000240731",63,143,111,129,109,54,35,64,112,96,129,43,92,65,30,108,86,23,119,69,81,59,39,89,57,24,71,48,46,61
"ENSG00000224051",459,558,691,995,697,483,134,494,698,1009,830,417,400,405,293,797,761,239,1024,639,670,485,297,895,412,257,757,360,519,699
"ENSG00000169962",9,3,7,9,7,9,0,6,2,6,16,14,5,3,3,7,8,2,4,4,7,4,9,4,13,1,5,3,10,8
"ENSG00000107404",6578,9790,9438,11055,8642,5805,1806,6630,8335,10423,9436,4655,5533,5873,3565,9629,8708,3189,13042,7325,7057,6883,4258,10678,4122,2440,7982,3616,5174,6286
"ENSG00000162576",12,18,7,30,16,2,3,12,14,18,14,5,16,21,8,20,15,1,21,9,16,7,8,19,14,6,16,6,7,5
"ENSG00000175756",1703,2578,2727,3146,2552,1878,518,1683,2325,3217,2845,1437,1665,1675,1071,2911,2859,1102,3482,2025,1845,1749,1044,2884,1237,677,2277,994,1263,1768
"ENSG00000223663",2,1,4,3,7,0,0,9,2,0,0,2,2,0,0,0,0,3,0,4,2,0,4,2,6,0,0,0,0,0
"ENSG00000221978",8315,11867,11533,13221,10094,6093,2407,7747,11266,11280,11175,5466,7756,7670,4872,11629,11140,3546,14361,8439,7742,7443,4308,11819,5697,3187,10988,4846,6999,9007
"ENSG00000224870",425,552,662,959,696,510,102,363,570,791,761,413,405,361,307,827,746,295,894,490,472,515,234,718,356,192,701,285,440,587
"ENSG00000242485",876,1250,1312,1782,1402,947,272,873,1269,1663,1783,829,909,880,562,1824,1676,614,1843,1040,949,947,544,1762,735,372,1368,551,832,1162
"ENSG00000264293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455",124,142,180,201,159,114,31,88,127,180,162,80,88,65,47,186,161,57,134,109,87,98,47,159,74,44,103,70,69,105
"ENSG00000235098",0,5,4,4,0,2,1,1,0,4,2,1,2,1,1,11,3,1,5,3,1,2,3,3,0,0,8,2,3,5
"ENSG00000225905",0,0,0,1,0,2,0,4,4,1,1,0,0,1,0,3,0,3,2,0,0,0,0,0,0,0,1,0,2,0
"ENSG00000205116",1,3,0,8,0,0,0,0,0,7,2,0,0,0,0,3,1,1,0,2,0,0,0,2,0,0,0,0,0,0
"ENSG00000225285",52,104,75,215,137,94,28,60,98,161,165,71,87,76,18,189,172,49,118,59,54,37,18,76,47,19,60,26,71,61
"ENSG00000179403",1215,1667,1899,3891,3207,2168,332,1150,1666,3848,3473,1680,1112,1144,774,3990,3283,1454,2295,1284,1322,1345,737,2253,969,506,2139,821,1369,1924
"ENSG00000215915",51,96,72,146,100,90,19,58,91,102,130,70,100,63,54,128,169,45,117,52,34,67,21,118,55,31,82,56,82,76
"ENSG00000160072",1316,1790,1880,2778,2004,1368,385,1265,1868,2526,2699,1260,1447,1435,813,3062,2609,881,2700,1589,1367,1354,797,2064,1119,645,2025,926,1179,1673
"ENSG00000197785",1484,2167,2280,2346,1844,1249,456,1508,1834,2358,2267,1009,1491,1528,946,2463,2309,765,3228,1853,1671,1434,788,2140,1240,656,1760,868,1103,1515
"ENSG00000205090",21,23,12,38,27,18,2,12,23,25,42,13,16,16,14,37,35,12,31,8,32,16,21,24,12,6,42,11,22,29
"ENSG00000160075",2014,3105,3184,3783,3106,2020,599,2114,2758,3707,3571,1713,1773,1907,1251,3608,3366,1184,4168,2470,2168,2375,1435,3819,1346,832,2974,1169,1930,2612
"ENSG00000215791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215014",6,23,19,11,8,9,0,17,14,18,11,5,6,6,5,12,14,4,19,13,5,3,1,11,9,2,14,1,7,12
"ENSG00000236684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594",176,211,209,338,243,192,43,191,215,345,313,143,148,177,92,312,261,95,319,167,170,140,75,220,126,49,226,65,142,176
"ENSG00000272106",66,121,89,104,93,55,10,71,103,134,115,43,61,51,32,97,90,36,99,49,67,63,31,81,34,15,65,49,21,65
"ENSG00000197530",2885,4427,4168,5321,4379,2735,817,3004,3889,4876,4525,2041,3070,3064,1949,5450,4583,1657,5467,3211,2903,2803,1758,4606,2016,1216,3898,1852,2703,3241
"ENSG00000189409",10,9,7,23,20,13,0,5,8,14,10,14,3,13,3,30,19,4,18,13,9,6,11,31,13,7,24,7,6,11
"ENSG00000248333",715,1025,1033,1329,1039,668,245,755,949,1143,1179,545,715,771,397,1262,1182,359,1427,838,693,841,571,1202,459,262,891,326,602,825
"ENSG00000272004",3,13,3,6,5,2,1,13,3,12,12,2,4,5,3,6,9,2,16,2,6,2,1,0,0,0,8,0,3,4
"ENSG00000189339",1422,1997,1978,3368,2804,1659,389,1266,1826,2877,2942,1379,1364,1293,882,3111,3086,919,2333,1446,1246,1682,1017,2765,1050,552,2714,835,1654,2196
"ENSG00000269737",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"ENSG00000269227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215914",5,2,2,6,3,3,1,3,7,1,6,2,5,0,0,2,10,3,2,1,0,2,0,0,5,4,10,0,1,11
"ENSG00000008128",103,169,149,187,152,99,42,117,175,170,167,102,89,104,62,156,148,48,225,115,115,107,72,161,84,26,160,53,85,140
"ENSG00000268575",161,209,234,277,209,98,45,155,222,229,224,106,201,149,122,202,197,63,243,144,150,129,61,173,119,86,188,97,127,159
"ENSG00000227775",3,2,1,1,0,0,1,0,0,0,2,1,1,4,5,3,1,0,0,2,2,0,0,0,2,0,2,0,0,1
"ENSG00000215790",86,144,142,241,163,102,27,93,128,170,167,93,78,91,41,165,140,52,141,91,77,86,49,130,77,33,155,65,72,133
"ENSG00000008130",1784,2465,2471,3215,2547,1621,500,1674,2346,2950,2730,1263,1724,1663,1057,2997,2823,940,3765,2203,1848,2120,1142,3278,1428,716,2765,1152,1705,2130
"ENSG00000078369",12342,18477,18416,20238,16440,10472,3554,12763,16973,19721,18612,8996,10617,11132,7092,17790,16444,5888,22320,12952,12094,10522,5997,16046,7655,4209,13344,6312,8195,11091
"ENSG00000231050",1,2,10,2,2,5,2,3,9,7,8,2,3,4,3,6,1,0,4,6,2,2,0,3,4,0,2,1,0,6
"ENSG00000169885",29,50,36,70,46,31,6,37,24,61,34,17,35,46,22,91,90,31,60,34,23,33,34,53,21,11,72,20,57,58
"ENSG00000178821",375,499,541,618,571,318,107,334,476,548,589,256,381,311,214,698,562,210,652,367,358,378,183,492,234,104,425,198,295,329
"ENSG00000142609",140,179,176,315,235,137,37,111,170,240,255,95,160,142,71,332,281,78,289,167,114,162,98,259,75,51,245,57,181,213
"ENSG00000233542",2,0,5,1,5,3,1,2,2,2,4,0,4,0,1,10,1,0,3,4,1,0,2,2,0,1,1,0,1,5
"ENSG00000187730",505,699,838,735,598,393,129,443,678,700,656,283,365,458,270,655,588,197,804,480,473,353,204,476,238,178,440,210,287,354
"ENSG00000226969",0,0,6,3,0,2,0,0,0,0,6,0,0,5,1,3,1,0,3,0,0,2,1,1,0,0,0,1,0,0
"ENSG00000067606",1386,2050,1999,2215,1958,1118,391,1448,1815,2162,2109,1065,1431,1423,848,2084,2060,599,2352,1361,1391,1348,789,2018,893,528,1833,654,1166,1440
"ENSG00000271806",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,1
"ENSG00000182873",28,38,45,45,49,31,7,32,45,44,71,34,30,30,16,44,39,13,53,30,23,31,16,36,17,14,45,12,21,37
"ENSG00000162585",1763,2574,2430,2821,2353,1495,468,1639,2158,2583,2481,1169,1546,1568,1005,2799,2091,902,3151,1713,1790,1357,910,2254,1080,651,1921,958,1381,1805
"ENSG00000269554",2,6,2,7,3,6,0,2,6,5,3,0,10,2,8,5,0,3,12,3,2,2,0,0,1,0,1,1,2,6
"ENSG00000203301",3,2,7,0,5,0,0,0,1,5,5,2,0,0,1,1,1,2,3,3,1,3,3,1,0,4,4,0,0,1
"ENSG00000243558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234396",5,1,0,1,1,5,0,6,1,5,3,0,1,2,3,4,2,1,1,3,7,2,0,4,2,0,4,6,11,4
"ENSG00000157933",3227,4275,4764,6944,5093,3658,989,3471,4609,6530,6479,2951,3444,3183,2132,6104,5202,1846,6848,3767,3603,3066,1644,4866,2571,1542,4534,2187,2841,3784
"ENSG00000116151",294,404,400,762,533,348,101,287,361,642,637,268,294,254,144,522,526,148,598,392,262,376,242,519,235,115,489,200,273,366
"ENSG00000272161",1,0,5,3,5,4,0,0,5,0,5,0,0,0,1,0,1,0,5,1,0,2,0,0,0,1,0,1,0,0
"ENSG00000269753",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000269896",28,49,55,105,110,46,12,40,48,82,103,62,42,35,42,111,112,29,73,49,35,45,17,61,36,13,66,30,47,47
"ENSG00000238240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272420",14,23,33,23,36,15,0,16,21,33,38,9,15,8,17,17,28,6,31,12,27,14,3,40,6,2,24,11,9,15
"ENSG00000271921",2,5,1,0,1,3,2,0,5,2,7,2,5,0,0,6,4,1,2,3,6,7,1,7,0,0,2,0,4,6
"ENSG00000271847",0,0,2,4,0,0,2,0,2,4,5,1,4,3,1,6,0,0,6,3,5,1,0,1,0,0,3,2,3,0
"ENSG00000178642",0,2,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,4,0,0,1,0,2,1,1,2,0,0,1
"ENSG00000157916",2991,4401,4531,5156,3992,2679,920,3013,4153,4987,4667,2429,2724,2873,1781,4531,4463,1443,5709,3395,3066,3017,1890,4895,1997,1209,4067,1729,2567,3567
"ENSG00000157911",577,752,772,1199,941,609,154,542,775,1051,1117,531,529,498,326,1038,987,331,1032,623,586,562,353,891,432,215,689,307,487,649
"ENSG00000149527",94,143,182,262,225,118,28,97,158,236,271,108,102,101,76,218,203,72,152,76,77,74,36,107,49,42,101,38,73,93
"ENSG00000224387",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229393",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881",963,1459,1403,1312,1049,601,280,942,1267,1109,1118,547,868,839,540,1031,1013,352,1620,982,924,713,408,1083,619,365,1084,535,617,765
"ENSG00000197921",0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ENSG00000272449",41,33,59,75,50,30,14,27,44,71,68,23,36,27,30,48,63,23,48,24,41,21,11,36,10,15,31,19,17,20
"ENSG00000238164",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157873",3,5,2,2,11,1,3,1,3,18,8,3,3,3,2,7,19,4,5,0,1,5,0,4,3,0,2,2,2,7
"ENSG00000225931",0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000228037",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157870",780,1043,1123,1777,1386,907,215,723,1056,1630,1484,740,698,654,427,1695,1379,443,1524,855,795,765,487,1195,519,292,1008,450,593,869
"ENSG00000142606",91,113,113,123,102,61,42,76,116,88,117,45,56,70,52,87,105,24,117,103,48,36,16,62,43,19,74,31,37,58
"ENSG00000237058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912",18,16,16,27,7,17,1,7,14,13,16,13,8,10,3,10,16,2,8,8,5,1,4,8,9,7,13,0,7,10
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
